"";"value";"lower";"count"
"464";"rue des Abbesses";"rue des abbesses";0
"465";"place des Abbesses";"place des abbesses";0
"466";"rue d'Abbeville";"rue d'abbeville";0
"467";"rue Abel Ferry";"rue abel ferry";0
"468";"rue Abel Gance";"rue abel gance";0
"469";"rue Abel Hovelacque";"rue abel hovelacque";0
"470";"passage Abel Leblanc";"passage abel leblanc";0
"471";"rue Abel Rabaud";"rue abel rabaud";0
"472";"rue Abel Truchet";"rue abel truchet";0
"473";"rue d'Aboukir";"rue d'aboukir";0
"474";"rue de l'Abreuvoir";"rue de l'abreuvoir";0
"475";"voie AC/12";"voie ac/12";0
"476";"voie AC/16";"voie ac/16";0
"477";"voie AC/18";"voie ac/18";0
"478";"voie AC/19";"voie ac/19";0
"479";"rue des Acacias";"rue des acacias";0
"480";"passage des Acacias";"passage des acacias";0
"481";"place d'Acadie";"place d'acadie";0
"482";"rue Achille";"rue achille";0
"483";"rue Achille Luchaire";"rue achille luchaire";0
"484";"rue Achille Martinet";"rue achille martinet";0
"485";"voie AD/15";"voie ad/15";0
"486";"voie AD/18";"voie ad/18";0
"487";"voie AD/19";"voie ad/19";0
"488";"square Adanson";"square adanson";0
"489";"rue de l'Adjudant Réau";"rue de l'adjudant réau";0
"490";"place de l'Adjudant Vincenot";"place de l'adjudant vincenot";0
"491";"rue Adolphe Adam";"rue adolphe adam";0
"492";"place Adolphe Chérioux";"place adolphe chérioux";0
"493";"rue Adolphe Focillon";"rue adolphe focillon";0
"494";"rue Adolphe Jullien";"rue adolphe jullien";0
"495";"place Adolphe Max";"place adolphe max";0
"496";"rue Adolphe Mille";"rue adolphe mille";0
"497";"boulevard Adolphe Pinard";"boulevard adolphe pinard";0
"498";"rue Adolphe Yvon";"rue adolphe yvon";0
"499";"villa de l'Adour";"villa de l'adour";0
"500";"avenue Adrien Hébrard";"avenue adrien hébrard";0
"501";"place Adrien Oudin";"place adrien oudin";0
"502";"cité Adrienne";"cité adrienne";0
"503";"villa Adrienne";"villa adrienne";0
"504";"allée Adrienne Lecouvreur";"allée adrienne lecouvreur";0
"505";"villa Adrienne Simon";"villa adrienne simon";0
"506";"voie AE/20";"voie ae/20";0
"507";"voie AF/14";"voie af/14";0
"508";"voie AF/16";"voie af/16";0
"509";"rue Affre";"rue affre";0
"510";"voie AG/18";"voie ag/18";0
"511";"rue Agar";"rue agar";0
"512";"rue de l'Agent Bailly";"rue de l'agent bailly";0
"513";"rue Agrippa D'Aubigné";"rue agrippa d'aubigné";0
"514";"rue d'Aguesseau";"rue d'aguesseau";0
"515";"voie AH/16";"voie ah/16";0
"516";"voie AH/20";"voie ah/20";0
"517";"voie AI/12";"voie ai/12";0
"518";"square de l'Aide Sociale";"square de l'aide sociale";0
"519";"villa des Aigrettes";"villa des aigrettes";0
"520";"route Aimable";"route aimable";0
"521";"rue Aimé Lavy";"rue aimé lavy";0
"522";"place Aimé Maillart";"place aimé maillart";0
"523";"rue Aimé Morot";"rue aimé morot";0
"524";"rue de l'Aisne";"rue de l'aisne";0
"525";"rue d'Aix";"rue d'aix";0
"526";"voie AJ/13";"voie aj/13";0
