"";"value";"n"
"690";"rue chanzy";1
"691";"rue charonne";1
"692";"rue châteaudun";1
"693";"rue clignancourt";1
"694";"rue clisson";1
"695";"rue convention";1
"696";"rue curial";1
"697";"rue custine";1
"698";"rue d'arcole";1
"699";"rue d'artois";1
"700";"rue d'assas";1
"701";"rue d'asterdam";1
"702";"rue d'aubervillier";1
"703";"rue damrémont";1
"704";"rue danrémont";1
"705";"rue dans";1
"706";"rue dantzig";1
"707";"rue de boulainvilliers";1
"708";"rue de buffon";1
"709";"rue de castiglione";1
"710";"rue de chabrol";1
"711";"rue de chateau";1
"712";"rue de cléry";1
"713";"rue de clignancourt";1
"714";"rue de cluny";1
"715";"rue de dunkerque";1
"716";"rue de faubourg saint-denis";1
"717";"rue de fsb";1
"718";"rue de l'arrivée";1
"719";"rue de l'espérance";1
"720";"rue de l'opera";1
"721";"rue de l'opéra";1
"722";"rue de la boëtie";1
"723";"rue de la chappelle";1
"724";"rue de la concention";1
"725";"rue de la condamine";1
"726";"rue de la fidélité";1
"727";"rue de la glacière";1
"728";"rue de la grange";1
"729";"rue de la légion";1
"730";"rue de la marseillaise";1
"731";"rue de la muette";1
"732";"rue de la pépinère";1
"733";"rue de la procession";1
"734";"rue de la république";1
"735";"rue de la tombe";1
"736";"rue de lancry";1
"737";"rue de lobau";1
"738";"rue de londres";1
"739";"rue de madrid";1
"740";"rue de magenta";1
"741";"rue de meaux";1
"742";"rue de ménilmontant";1
"743";"rue de metz";1
"744";"rue de mézières";1
"745";"rue de mirador";1
"746";"rue de ormeaux";1
"747";"rue de paradisne";1
"748";"rue de passy";1
"749";"rue de picpus";1
"750";"rue de ponthieu";1
"751";"rue de pyrénées";1
"752";"rue de réaumur";1
"753";"rue de reuilly";1
"754";"rue de rivolie";1
"755";"rue de saint-antoine";1
"756";"rue de saint pétersbourg";1
"757";"rue de saussure";1
"758";"rue de sébastopol";1
"759";"rue de sebastopole";1
"760";"rue de seine";1
"761";"rue de taille";1
"762";"rue de tanger";1
"763";"rue de tilsit";1
"764";"rue de tilsitt";1
"765";"rue de turenne";1
"766";"rue de vercingetorix";1
"767";"rue de verneuil";1
"768";"rue dejerine";1
"769";"rue des bernardins";1
"770";"rue des blancs";1
"771";"rue des boulets";1
"772";"rue des cascades";1
"773";"rue des couronnes";1
"774";"rue des ecoles";1
"775";"rue des écoles";1
"776";"rue des faubourgs";1
"777";"rue des fossés";1
"778";"rue des franc";1
"779";"rue des francs";1
"780";"rue des petits";1
"781";"rue des peupliers";1
"782";"rue des plâtrières";1
"783";"rue des pyramides";1
"784";"rue des pyrénnées";1
"785";"rue descendantes";1
"786";"rue dormoy";1
"787";"rue doudeauville";1
"788";"rue du cardinal";1
"789";"rue du cherche";1
"790";"rue du départ";1
"791";"rue du dessous";1
"792";"rue du faboueg";1
"793";"rue du faubourg";1
"794";"rue du faubourg saint et";1
"795";"rue du faubourg st honoré";1
"796";"rue du faubourgs";1
"797";"rue du fbourg";1
"798";"rue du four";1
"799";"rue du maroc";1
"800";"rue du mont";1
"801";"rue du parvis";1
"802";"rue du père";1
"803";"rue du petit";1
"804";"rue du pré";1
"805";"rue du ranelagh";1
"806";"rue du rivoli";1
"807";"rue du saint gothard";1
"808";"rue du transvaal";1
"809";"rue du trésor";1
"810";"rue du vieux";1
"811";"rue dunois";1
"812";"rue duphot";1
"813";"rue emile";1
"814";"rue émile";1
"815";"rue endommagent";1
"816";"rue était";1
"817";"rue étant";1
"818";"rue etienne";1
"819";"rue étroites";1
"820";"rue f";1
"821";"rue fait";1
"822";"rue faubourg du";1
"823";"rue fléchier";1
"824";"rue froideveau";1
"825";"rue gandon";1
"826";"rue ganneron";1
"827";"rue geoffrey";1
"828";"rue gutembreg";1
"829";"rue henri";1
"830";"rue jacob";1
"831";"rue joseph";1
"832";"rue jouffroy";1
"833";"rue jusqu";1
"834";"rue la chapelle";1
"835";"rue la nuit";1
"836";"rue lacépede";1
"837";"rue le mieux";1
"838";"rue léon";1
"839";"rue leroi";1
"840";"rue linois";1
"841";"rue lorsqu";1
"842";"rue lourmel";1
"843";"rue magenta";1
"844";"rue mais";1
"845";"rue manin";1
"846";"rue mansouty";1
"847";"rue marceau";1
"848";"rue mendelssohn";1
"849";"rue molitor";1
"850";"rue mortelle";1
"851";"rue moufle";1
"852";"rue n";1
"853";"rue notre";1
"854";"rue on";1
"855";"rue ordonner";1
"856";"rue orfila";1
"857";"rue pajol";1
"858";"rue paradis";1
"859";"rue parc";1
"860";"rue pernety";1
"861";"rue perpendiculaire";1
"862";"rue petit";1
"863";"rue petite";1
"864";"rue pierre";1
"865";"rue pouchet";1
"866";"rue procession";1
"867";"rue pyrénée";1
"868";"rue qui";1
"869";"rue rambuteau";1
"870";"rue raymond";1
"871";"rue rebeval";1
"872";"rue richard";1
"873";"rue richet";1
"874";"rue richier";1
"875";"rue rigolo";1
"876";"rue roquet";1
"877";"rue saint-charles";1
"878";"rue saint-philippe";1
"879";"rue saint maur";1
"880";"rue sans";1
"881";"rue saulnier";1
"882";"rue sedaine";1
"883";"rue sigmund";1
"884";"rue simon";1
"885";"rue soit";1
"886";"rue soufflot";1
"887";"rue st charles";1
"888";"rue st lazare";1
"889";"rue st peres";1
"890";"rue subuet";1
"891";"rue tronchet";1
"892";"rue trop";1
"893";"rue truffaut";1
"894";"rue turbigot";1
"895";"rue unique";1
"896";"rue vauquelin";1
"897";"rue vavin";1
"898";"rue victor";1
"899";"rue vitruve";1
"900";"rue vouillé";1
